frequency,amplitude
0.049999999999999996,1.4779230200005198
0.08327759140215811,1.6421448318971623
0.11655518280431622,1.8649519068791283
0.1498327742064743,2.177953961728888
0.18311036560863245,2.655266443368058
0.21638793803804338,3.1512159509648106
0.24966554841294866,3.0343654571208125
0.2829431208423596,4.640479456000922
0.31622073121726485,5.387639393517241
0.34949834159217014,4.757994229688231
0.3827758950488339,4.644606425213736
0.41605348645099205,2.5464607313266354
0.4493311157986445,2.212572249149576
0.48260866925530826,2.000389325183123
0.5158862606574663,1.940390157435785
0.5491638141141302,1.9932191488705882
0.5824414434617826,2.097961326826128
0.6157190348639406,2.2419860612132636
0.6489966642115932,2.390961123649561
0.6822742556137512,2.4562518047084017
0.7155517711249207,2.016287063663842
0.7488294384180675,2.6918148462897555
0.7821070298202256,2.7937558239591884
0.815384545331395,2.8734051173096886
0.8486622126245418,2.9247502801659127
0.8819398040266999,2.9509521460225536
0.9152173195378693,2.9603831135195002
0.9484949109400275,2.95959187922364
0.9817725782331742,2.9527533757673066
1.015050017853355,2.9433149755756465
1.0483276851465018,2.9345693007965794
1.0816052006576713,2.928394443825584
1.1148827920598294,2.923842418203278
1.1481604593529762,2.7544408334504857
1.1814379748641455,2.990094913202708
1.2147155662663036,3.003157006580976
1.2479932335594504,3.02788415519795
1.2812707490706199,3.004014037147538
1.314548340472778,2.989828973939019
1.3478259318749362,3.0019741609226718
1.3811035232770943,2.996602174956583
1.4143811146792524,2.9854055421111134
1.4476587060814103,2.9736082086005737
1.4809362974835685,2.963767346888177
1.5142138888857266,2.956244938675879
1.5474914802878847,2.950450819051293
1.5807690716900429,2.9461111516257565
1.614046663092201,2.943602859520873
1.6473242544943592,2.9451485751055135
1.6806018458965173,3.4934985392139053
1.7138794372986754,2.951946606651878
1.7471570287008333,2.9606182969989026
1.7804346201029915,2.9683386596464283
1.8137122115051496,2.9586998771917545
1.8469898029073077,2.94650446718837
1.8802673943094659,2.930429019509401
1.913544985711624,2.911653482045424
1.9468225771137821,2.889408722996994
1.9801001685159403,2.8540816975719316
2.0133779117000756,2.8380411899127607
2.0466553513202563,2.831328337799573
2.0799329427224147,2.812872412318667
2.1132103823425954,2.798116887000174
2.1464881255267305,2.785068753517052
2.179765716928889,2.7742245640142063
2.2130431565490696,2.757279901180132
2.246320899733205,2.7637828247261327
2.279598491135363,2.7551355874436223
2.3128759307555438,2.739129999331496
2.3461536739396793,2.723750462417506
2.3794312653418377,2.7063494576405698
2.4127087049620184,2.68834065647342
2.4459864481461535,2.6714700863488057
2.479264039548312,2.6561035525353116
2.5125414791684926,2.641892809227043
2.545819222352628,2.628616460693366
2.579096661972809,2.616178980516463
2.6123742533749668,2.604191957784546
2.6456521483410795,2.595030390407787
2.678929436179283,2.595121066636661
2.7122070275814414,2.620886906475168
2.745484922547554,2.583484082664318
2.7787622103857577,2.5757359158060953
2.8120398017879156,2.5685817176164503
2.8453176967540283,2.5621210558924226
2.878594984592232,2.5536978171830658
2.9118725759943898,2.5494325324939924
2.9451504709605025,2.5466943115048557
2.978427758798706,2.543509785663832
3.0117053502008644,2.540235215384119
3.044983245166977,2.5371178044897413
3.0782605330051807,2.5342933162139714
3.1115381244073386,2.531809554267245
3.1448160193734513,2.5298601545265162
3.178093307211655,2.5298454166702085
3.2113708986138128,2.5292772291983514
3.2446487935799255,2.5031847356019266
3.277926081418129,2.521330237901679
3.3112036728202874,2.5155853098198575
3.3444812642224453,2.51133240350032
3.3777588556246037,2.518687971068761
3.4110364470267616,2.503865854908158
3.4443140384289195,2.494219196471569
3.477591629831078,2.486703807566916
3.5108692212332357,2.4806028816319246
3.544146812635394,2.4744043588476994
3.577424404037552,2.4683396959909008
3.6107019954397104,2.4628045941178116
3.6439795868418683,2.457740663344334
3.6772571782440266,2.451964656905277
3.7105347696461846,2.4452309317078313
3.7438123610483425,2.44209941413235
3.777089952450501,2.432143193180757
3.8103675438526587,2.417320895501879
3.843645135254817,2.4029793784525
3.876922726656975,2.392805253726299
3.9102003180591334,2.3868495921849906
3.9434779094612913,2.3781632237642953
3.9767555008634496,2.369326447546233
4.010033092265608,2.3605603261769654
4.043310683667766,2.3523253437076397
4.076588578633879,2.3447227055415283
4.109866170036036,2.336897261731889
4.1431437614381945,2.328898278728041
4.1764210492763985,2.321253836015162
4.209699247806466,2.313806672090568
4.242976535644669,2.3059911487352824
4.276254127046827,2.2976305709262075
4.309531718448985,2.2944878314424852
4.342809309851143,2.279046170434915
4.376086597689347,2.2709529694199215
4.409364189091505,2.2643889470838583
4.442642084057618,2.2589845782406015
4.475919675459775,2.250544988870591
4.509197266861934,2.2422377194327145
4.542474858264092,2.2336365340543023
4.575752146102295,2.230839532426259
4.6090297375044535,2.229358631360601
4.642307632470566,2.2255112490246267
4.675585223872725,2.221244869603932
4.708862815274882,2.217745485947698
4.7421404066770405,2.2154382374155674
4.7754176945152444,2.2083613178956787
4.808695285917402,2.203134489347797
4.841973180883515,2.1995982105261187
4.875250772285673,2.210254124059646
4.908528363687831,2.192103518381384
4.941805955089989,2.1868445431492423
4.975083242928193,2.182899809217854
5.008360834330351,2.179634485476386
5.041638729296464,2.175660826179382
5.074916320698621,2.172663238083284
5.10819391210078,2.170184175443515
5.141471199938984,2.1681868921779013
5.1747490949050965,2.1663979724305333
5.2080263827432995,2.1645037919009282
5.241304277709412,2.163263627319106
5.274582172675525,2.157377487314637
5.307859460513728,2.155524587276741
5.341136748351932,2.1533531170416134
5.374414643318045,2.151551169167575
5.407691931156248,2.150298724743734
5.440969826122361,2.1495782262958865
5.4742477210884735,2.143459165071017
5.507525008926677,2.1451554245089683
5.5408022967648805,2.1378158418794544
5.574080191730993,2.135577281960624
5.607357479569197,2.1341356594295924
5.64063537453531,2.1334818949026926
5.673913269501423,2.132622957057647
5.707190557339626,2.1302067613936253
5.740467845177829,2.127384247178131
5.773745740143942,2.1251746807711736
5.8070230279821455,2.12346273776871
5.840300922948258,2.1205612224099926
5.873578817914371,2.1171798586905037
5.906856105752574,2.108848754756696
5.940133393590778,2.110013717349754
5.973411288556891,2.1053455468370124
6.006688576395094,2.101001187537531
6.039966471361207,2.1020893194630808
6.0732443663273195,2.0953951293276476
6.106521654165523,2.092979317162577
6.1397989420037264,2.0904670921992907
6.173076836969839,2.0875327672653397
6.206354124808043,2.0844137403570357
6.239632019774156,2.082326888119136
6.272909914740269,2.08191999176097
6.306187202578472,2.0756906769170436
6.339464490416675,2.07161207464175
6.372742385382788,2.068006035598555
6.4060196732209915,2.0644657214298068
6.439297568187104,2.061705922882688
6.472575463153217,2.0578599791318073
6.50585275099142,2.0538221939263934
6.539130038829624,2.050800196763191
6.572407933795737,2.0507826172361416
6.60568522163394,2.04493545493329
6.638962509472144,2.042010834764489
6.6722410115661654,2.039089170130597
6.705518299404369,2.0361240957539004
6.738795587242572,2.0335956667924036
6.772073482208685,2.028476793488529
6.805350770046889,2.0261201354163316
6.838628057885092,2.0235016768224203
6.871906559979115,2.0210710617297094
6.905183847817318,2.018905469106211
6.938461135655521,2.0171073049767876
6.971739030621634,2.0150486117473574
7.0050163184598375,2.0116401876133096
7.038293606298041,2.0099641431363473
7.071572108392063,2.009351557021088
7.104849396230266,2.0076776440436537
7.13812668406847,2.0057190863824244
7.171404579034583,2.0036993061717863
7.204681866872786,1.9988169992492097
7.23795915471099,1.999383643597087
7.271237656805011,1.9989759928298416
7.304514944643215,1.9979746725635505
7.337792232481418,1.9971278171816138
7.371070127447531,1.9970083668094574
7.404347415285735,1.9980993754668201
7.437624703123938,1.9957798960453146
7.470903205217961,1.9944035783484935
7.504180493056164,1.9935553516172553
7.537457780894367,1.993014202446575
7.57073567586048,2.0677383997665797
7.6040129636986835,1.9926857498413284
7.637290251536887,1.9952797609188928
7.670568753630909,1.9928306863297027
7.703846041469112,1.992983744995632
7.737123329307316,1.9932759813671923
7.770401224273429,1.993764780449093
7.803678512111632,1.994912737946473
7.836955799949836,1.9979584169307538
7.870234302043857,1.996815071558359
7.903511589882061,1.9978994115301187
7.936788877720264,1.9989011961820404
7.970066772686377,2.0002065003130274
8.00334345339667,2.0017530411940356
8.036621348362784,2.003240202397281
8.069899850456807,2.0046897424958203
8.10317713829501,2.0064272172994246
8.136454426133213,2.0099007487158462
8.169732321099326,2.0105869903607885
8.20300960893753,2.0125151899941764
8.236286896775733,2.0145990269300698
8.269564791741846,2.0266906356999588
8.30284207958005,2.01911380329246
8.336119367418252,2.020780006851137
8.369397869512275,2.02268890328491
8.402675764478387,2.024698306149759
8.435953052316592,2.026898448596955
8.469230947282703,2.029412914947475
8.502508235120906,2.032278621739962
8.535785522959111,2.0293463208175453
8.569063417925223,2.037197666849796
8.602340705763426,2.0392839844872666
8.63561799360163,2.041546699809842
8.668895888567743,2.0432627539974755
8.702173176405946,2.0435720575508536
8.735450464244149,2.045365151281229
8.768728359210263,2.0457851219106877
8.802006861304285,2.046928543245467
8.835284149142488,2.048355173303174
8.8685620441086,2.0499172680396063
8.901839331946805,2.0515650700029178
8.935116619785008,2.0530803505391058
8.96839451475112,2.056604156558466
9.001671802589325,2.057992540993855
9.034949090427528,2.060018707959678
9.06822698539364,2.0619569321397546
9.101504273231845,2.0637366061181335
9.134781561070048,2.065847332187498
9.16805945603616,2.0701430944463053
9.201337958130182,2.0703175747954954
9.234615245968385,2.0690553094233857
9.267893140934499,2.070786029554255
9.301170428772702,2.0740852349237224
9.334447716610905,2.0787819416718696
9.367725611577018,2.077883255020832
9.401002899415221,2.0799888056525417
9.434280187253425,2.0819541426468535
9.467558082219538,2.0831074862971435
9.500835370057741,2.0843772250187547
9.534112657895944,2.0861074592250617
9.567390552862058,2.0880882681300434
9.600669054956079,2.090436669403264
9.633946342794284,2.094752152985291
9.667223630632487,2.0967632084676304
9.700501525598598,2.097420326134909
9.733778813436803,2.1152373276144596
9.767056708402915,2.099558720300006
9.800333996241118,2.1007377331247024
9.833611284079321,2.1012190949165284
9.866889179045435,2.1029317836850705
9.900166466883638,2.104864450556673
9.933443754721841,2.1066207891535638
9.966721649687955,2.108300121675883
10.000000151781977,2.109877374643967
