Frequency_Hz,HVSR_Amplitude
0.200000,2.440280
0.482857,1.461677
0.765714,1.371800
1.048571,1.380635
1.331428,1.417629
1.614286,1.468913
1.897143,1.531095
2.180000,1.603900
2.462857,1.688214
2.745714,1.785499
3.028571,1.897139
3.311428,2.023599
3.594286,2.163294
3.877143,2.312642
4.159999,2.469143
4.442857,2.635970
4.725714,2.823248
5.008571,3.044720
5.291428,3.314964
5.574285,3.649084
5.857143,4.063168
6.139999,4.568338
6.422857,5.123436
6.705714,5.023007
6.988570,8.092049
7.271428,10.048225
7.554285,12.495536
7.837142,6.785918
8.119999,14.120895
8.402856,11.773706
8.685714,12.142209
8.968571,16.591924
9.251428,11.398929
9.534284,10.822627
9.817142,10.477862
10.100000,10.186324
10.382856,9.918000
10.665713,9.659147
10.948571,9.397969
11.231427,9.125942
11.514285,9.153677
11.797142,8.441029
12.079999,7.998390
12.362856,7.474543
12.645713,6.869303
12.928570,6.203553
13.211428,5.520190
13.494285,4.882453
13.777142,4.327507
14.059998,3.848227
14.342855,3.527306
14.625714,3.312839
14.908570,3.157897
15.191427,3.034257
15.474284,2.925755
15.757142,2.823471
16.039999,2.722936
16.322857,2.622391
16.605713,2.521437
16.888571,2.420134
17.171429,2.318644
17.454285,2.217104
17.737142,2.115653
18.019998,2.014430
18.302857,1.913587
18.585714,1.813422
18.868570,1.714407
19.151429,1.617257
19.434285,1.522996
19.717142,1.433105
20.000000,1.350444
