Frequency_Hz,HVSR_Amplitude
0.200000,2.215135
0.482857,1.420861
0.765714,1.359120
1.048571,1.375535
1.331428,1.413899
1.614286,1.463273
1.897143,1.520976
2.180000,1.586612
2.462857,1.660445
2.745714,1.742546
3.028571,1.832009
3.311428,1.926236
3.594286,2.021326
3.877143,2.114210
4.159999,2.205265
4.442857,2.298550
4.725714,2.399650
5.008571,2.513481
5.291428,2.643706
5.574285,2.792937
5.857143,2.962909
6.139999,3.153895
6.422857,3.361896
6.705714,3.568066
6.988570,3.689706
7.271428,3.487740
7.554285,5.060283
7.837142,5.841134
8.119999,6.481257
8.402856,7.240057
8.685714,8.201800
8.968571,4.895708
9.251428,8.948762
9.534284,9.876625
9.817142,7.061433
10.100000,7.118310
10.382856,9.685023
10.665713,8.011687
10.948571,7.050294
11.231427,6.652587
11.514285,6.321436
11.797142,5.998226
12.079999,5.676098
12.362856,5.359233
12.645713,5.253237
12.928570,4.744571
13.211428,4.434647
13.494285,4.142626
13.777142,3.861236
14.059998,3.591301
14.342855,3.333828
14.625714,3.089571
14.908570,2.858848
15.191427,2.641482
15.474284,2.436836
15.757142,2.243926
16.039999,2.057759
16.322857,1.824839
16.605713,1.738727
16.888571,1.601035
17.171429,1.478731
17.454285,1.373070
17.737142,1.284839
18.019998,1.214736
18.302857,1.162308
18.585714,1.126025
18.868570,1.103276
19.151429,1.090965
19.434285,1.086058
19.717142,1.085890
20.000000,1.088198
