Frequency_Hz,HVSR_Amplitude
0.200000,1.549969
0.768571,1.649453
1.337143,2.997845
1.905714,23.298368
2.474286,8.722232
3.042857,4.050708
3.611429,0.691181
4.180000,1.134459
4.748571,1.225545
5.317143,1.259841
5.885715,1.409803
6.454286,1.526659
7.022857,1.480600
7.591429,1.410100
8.160000,1.326360
8.728572,1.242824
9.297143,1.203855
9.865714,1.453401
10.434286,1.462444
11.002858,1.428862
11.571429,1.384184
12.140000,1.329569
12.708571,1.289306
13.277143,1.260968
13.845715,1.329178
14.414285,1.430769
14.982858,1.407327
15.551428,1.378991
16.120001,1.351328
16.688572,1.327875
17.257145,1.314943
17.825716,1.348007
18.394287,1.423214
18.962858,1.410304
19.531429,1.378688
20.100003,1.344030
20.668574,1.319794
21.237145,1.311345
21.805715,1.316307
22.374286,1.400127
22.942859,1.391703
23.511431,1.374816
24.080002,1.356534
24.648572,1.338373
25.217145,1.323574
25.785716,1.329459
26.354288,1.410712
26.922859,1.398121
27.491429,1.380268
28.060002,1.312963
28.628573,1.347261
29.197145,1.338659
29.765716,1.343233
30.334289,1.365570
30.902859,1.358196
31.471430,1.352213
32.040000,1.347624
32.608573,1.343295
33.177143,1.339060
33.745716,1.347448
34.314289,1.375874
34.882859,1.359810
35.451432,1.346075
36.020000,1.330657
36.588573,1.325424
37.157146,1.315598
37.725716,1.330270
38.294289,1.353845
38.862857,1.335491
39.431430,1.331861
40.000003,1.324787
