Frequency_Hz,HVSR_Amplitude
0.200000,1.707385
0.482857,1.370312
0.765714,1.404372
1.048571,1.488047
1.331428,1.600662
1.614286,1.743567
1.897143,1.922471
2.180000,2.140611
2.462857,2.392295
2.745714,2.674046
3.028571,3.012694
3.311428,3.465994
3.594286,4.112769
3.877143,5.068522
4.159999,6.408541
4.442857,9.897085
4.725714,17.406577
5.008571,20.062763
5.291428,25.707343
5.574285,23.000805
5.857143,21.002198
6.139999,18.769933
6.422857,16.585610
6.705714,14.596205
6.988570,12.815563
7.271428,11.273396
7.554285,9.822562
7.837142,8.553927
8.119999,7.244573
8.402856,6.441192
8.685714,5.086830
8.968571,4.096222
9.251428,3.249654
9.534284,2.553938
9.817142,1.995508
10.100000,1.542492
10.382856,1.170711
10.665713,0.905966
10.948571,0.839087
11.231427,0.901516
11.514285,0.971874
11.797142,1.027235
12.079999,1.069715
12.362856,1.102946
12.645713,1.130875
12.928570,1.151183
13.211428,1.169136
13.494285,1.182917
13.777142,1.196626
14.059998,1.207045
14.342855,1.216728
14.625714,1.225542
14.908570,1.232069
15.191427,1.238895
15.474284,1.246397
15.757142,1.254459
16.039999,1.263190
16.322857,1.272654
16.605713,1.283029
16.888571,1.294828
17.171429,1.309175
17.454285,1.328014
17.737142,1.354240
18.019998,1.391276
18.302857,1.440031
18.585714,1.488644
18.868570,1.519181
19.151429,1.529637
19.434285,1.532933
19.717142,1.526106
20.000000,1.521998
