# frequency_hz	hv_median	hv_plus	hv_minus	hv_std
4.794955368841803400e-01 9.285796396810301889e-01 1.575421623128442361e+00 2.817376562336180723e-01 6.468419834474121721e-01
4.947060623962281078e-01 9.634085014533678715e-01 1.638381430508414338e+00 2.884355723983213493e-01 6.749729290550464667e-01
5.103990951863540682e-01 9.902182854915181354e-01 1.761053942421109131e+00 2.193826285619271121e-01 7.708356569295911065e-01
5.265899413183240396e-01 1.000761236880159499e+00 1.872469161106353752e+00 1.290533126539651076e-01 8.717079242261942529e-01
5.432943923938401420e-01 9.947215475058291956e-01 1.932354692569105303e+00 5.708840244255294211e-02 9.376331450632762188e-01
5.605287409547425881e-01 9.758827127861117168e-01 1.946734238420606111e+00 5.031187151617229521e-03 9.708515256344945055e-01
5.783097963737995340e-01 9.477342600007927498e-01 1.934344957609827942e+00 0.000000000000000000e+00 9.866106976090354141e-01
5.966549012495838689e-01 9.163694983383979809e-01 1.914157744777895021e+00 0.000000000000000000e+00 9.977882464394969286e-01
6.155819483214260979e-01 8.945926252210054663e-01 1.897128984329984558e+00 0.000000000000000000e+00 1.002536359108979314e+00
6.351093979209430085e-01 8.957761926304598221e-01 1.878454039028598643e+00 0.000000000000000000e+00 9.826778463981388212e-01
6.552562959771622841e-01 9.148979572006210592e-01 1.886906226703635392e+00 0.000000000000000000e+00 9.720082695030143327e-01
6.760422925928053495e-01 9.387154940005435488e-01 1.931509063354624356e+00 0.000000000000000000e+00 9.927935693540806961e-01
6.974876612098440676e-01 9.576648979907184112e-01 1.981656869119316378e+00 0.000000000000000000e+00 1.023991971128597855e+00
7.196133183830274449e-01 9.679531218775812018e-01 2.013615360917540453e+00 0.000000000000000000e+00 1.045662239039959251e+00
7.424408441806622516e-01 9.693822826819161742e-01 2.049151390859451194e+00 0.000000000000000000e+00 1.079769108177535131e+00
7.659925032325460847e-01 9.588711882410270171e-01 2.129710665597563057e+00 0.000000000000000000e+00 1.170839477356536040e+00
7.902912664455813418e-01 9.390708866398916888e-01 2.250734478032469621e+00 0.000000000000000000e+00 1.311663591392577821e+00
8.153608334082506071e-01 9.228544300107366372e-01 2.366656232233276480e+00 0.000000000000000000e+00 1.443801802222539843e+00
8.412256555058051921e-01 9.167174029846562044e-01 2.420287119893458794e+00 0.000000000000000000e+00 1.503569716908802478e+00
8.679109597687119093e-01 9.208200132876586119e-01 2.353444224976878996e+00 0.000000000000000000e+00 1.432624211689220495e+00
8.954427734776193581e-01 9.302668912966456372e-01 2.194268314437189282e+00 0.000000000000000000e+00 1.264001423140543645e+00
9.238479495488410853e-01 9.401048105776830255e-01 2.021587424100244501e+00 0.000000000000000000e+00 1.081482613522561476e+00
9.531541927251144797e-01 9.456176984554227616e-01 1.882355620940951768e+00 8.879775969893697815e-03 9.367379224855290065e-01
9.833900865971830774e-01 9.448499020600888976e-01 1.776721897909299575e+00 1.129779062108779430e-01 8.318719958492108990e-01
1.014585121482553198e+00 9.465979922440422856e-01 1.690016209988897122e+00 2.031797744991876153e-01 7.434182177448547257e-01
1.046769723188621048e+00 9.613264570970498912e-01 1.623502233290015306e+00 2.991506809040843651e-01 6.621757761929655262e-01
1.079975282688219851e+00 9.807124560193067886e-01 1.588633587499562960e+00 3.727913245390504504e-01 6.079211314802562827e-01
1.114234186736534182e+00 9.892479207725684009e-01 1.580784336653092925e+00 3.977115048920440432e-01 5.915364158805244132e-01
1.149579849459241521e+00 9.838910596314289769e-01 1.585561157771949947e+00 3.822209614909080622e-01 6.016700981405209703e-01
1.186046744942690800e+00 9.735415162519353016e-01 1.586399511222001735e+00 3.606835212818690350e-01 6.128579949700663221e-01
1.223670440857903330e+00 9.694980210493884254e-01 1.565072401446968131e+00 3.739236406518085531e-01 5.955743803975798167e-01
1.262487633151194055e+00 9.759424920391011060e-01 1.518191512079040129e+00 4.336934719991620835e-01 5.422490200399390226e-01
1.302536181835244555e+00 9.884296699871031322e-01 1.470974062371920743e+00 5.058852776022855213e-01 4.825443923848176664e-01
1.343855147915539616e+00 1.002468143275473622e+00 1.444440672165218764e+00 5.604956143857283690e-01 4.419725288897451976e-01
1.386484831488179692e+00 1.018720267929655643e+00 1.444388585163431715e+00 5.930519506958795706e-01 4.256683172337761278e-01
1.430466811046233966e+00 1.036926702871193484e+00 1.480657493631847510e+00 5.931959121105394583e-01 4.437307907606539703e-01
1.475843984032959577e+00 1.053090727877255661e+00 1.536765480897736458e+00 5.694159748567749757e-01 4.836747530204807966e-01
1.522660608681455141e+00 1.070277320988815895e+00 1.558585335703256414e+00 5.819693062743757084e-01 4.883080147144402972e-01
1.570962347181544150e+00 1.082878286393044842e+00 1.530266520944787656e+00 6.354900518413019173e-01 4.473882345517428694e-01
1.620796310215996350e+00 1.082010206406390784e+00 1.475268971459529066e+00 6.887514413532526136e-01 3.932587650531382817e-01
1.672211102909527014e+00 1.078039321861081090e+00 1.443908601181268514e+00 7.121700425408936663e-01 3.658692793201874238e-01
1.725256872235381378e+00 1.081008276437128268e+00 1.462664578162238938e+00 6.993519747120173768e-01 3.816563017251107803e-01
1.779985355925753243e+00 1.091842099979734471e+00 1.514786411677211841e+00 6.688977882822572107e-01 4.229443116974773154e-01
1.836449932933734486e+00 1.113313693323167541e+00 1.580467547648545690e+00 6.461598389977891710e-01 4.671538543253783149e-01
1.894705675496014319e+00 1.153573195450428690e+00 1.670372643747279007e+00 6.367737471535787064e-01 5.167994482968500947e-01
1.954809402847109023e+00 1.226901836532984680e+00 1.803339381386463325e+00 6.504642916795058127e-01 5.764375448534787560e-01
2.016819736637513127e+00 1.367551568067262524e+00 2.004770173435951097e+00 7.303329626985739509e-01 6.372186053686884621e-01
2.080797158109813250e+00 1.631706909379471604e+00 2.352396661664076127e+00 9.110171570948667474e-01 7.206897522846048565e-01
2.146804067088551982e+00 2.055827440565904940e+00 2.940567947995140319e+00 1.171086933136669561e+00 8.847405074292353788e-01
2.214904842841353361e+00 2.626752609614062095e+00 3.793465300297935716e+00 1.460039918930188252e+00 1.166712690683873621e+00
2.285165906870680885e+00 3.315597920413375199e+00 4.859354476431486880e+00 1.771841364395263074e+00 1.543756556018111903e+00
2.357655787697484850e+00 4.054518536675209894e+00 6.018997594582323529e+00 2.090039478768097148e+00 1.964479057907112969e+00
2.432445187699890710e+00 4.658102214102454397e+00 7.001762298225244763e+00 2.314442129979664475e+00 2.343660084122789922e+00
2.509607052072163391e+00 4.953694187334775734e+00 7.514189399857531093e+00 2.393198974812020818e+00 2.560495212522754915e+00
2.589216639971161360e+00 4.954582177209215565e+00 7.549154194178915311e+00 2.360010160239516264e+00 2.594572016969699302e+00
2.671351597919711551e+00 4.816802163298445905e+00 7.343666140946703891e+00 2.289938185650187030e+00 2.526863977648258874e+00
2.756092035538471485e+00 4.647354873913145390e+00 7.065957002912192308e+00 2.228752744914098027e+00 2.418602128999046919e+00
2.843520603680149694e+00 4.450563058260435412e+00 6.762362684345906594e+00 2.138763432174963786e+00 2.311799626085471626e+00
2.933722575042310599e+00 4.232254095517524739e+00 6.452862359364189615e+00 2.011645831670858531e+00 2.220608263846665764e+00
3.026785927337348969e+00 4.030052648056734022e+00 6.158704660813924647e+00 1.901400635299542952e+00 2.128652012757190626e+00
3.122801429100803272e+00 3.875894114609829355e+00 5.909266949696610816e+00 1.842521279523047451e+00 2.033372835086781905e+00
3.221862728221655647e+00 3.774371596279877838e+00 5.725217041274842877e+00 1.823526151284912356e+00 1.950845444994965483e+00
3.324066443280984995e+00 3.677859901305275070e+00 5.546409065706461305e+00 1.809310736904089056e+00 1.868549164401186236e+00
3.429512257788076557e+00 3.514284886896841709e+00 5.245656063710236516e+00 1.782913710083446901e+00 1.731371176813394808e+00
3.538303017405857620e+00 3.265485064953235206e+00 4.778454877450885263e+00 1.752515252455585593e+00 1.512969812497649835e+00
3.650544830260536333e+00 2.980053061549106541e+00 4.251949461782817075e+00 1.708156661315396230e+00 1.271896400233710311e+00
3.766347170433232527e+00 2.719206204149327899e+00 3.800361750486653811e+00 1.638050657812002209e+00 1.081155546337325690e+00
3.885822984734587759e+00 2.512577371245611424e+00 3.463458118642679828e+00 1.561696623848543020e+00 9.508807473970682933e-01
4.009088802866455303e+00 2.345226398543514001e+00 3.214388630883918907e+00 1.476064166203108652e+00 8.691622323404052386e-01
4.136264851078128579e+00 2.176295885885213721e+00 3.012675916067057091e+00 1.339915855703370573e+00 8.363800301818432592e-01
4.267475169427989989e+00 1.986198432759162857e+00 2.814318728371807854e+00 1.158078137146517639e+00 8.281202956126451076e-01
4.402847732764889166e+00 1.787980355713459923e+00 2.583849303630537886e+00 9.921114077963816280e-01 7.958689479170782954e-01
4.542514575547322409e+00 1.606742917478598764e+00 2.336192298695582537e+00 8.772935362616149924e-01 7.294493812169836611e-01
4.686611920622093308e+00 1.459612871115365529e+00 2.124182606805501194e+00 7.950431354252298632e-01 6.645697356901356656e-01
4.835280312088075405e+00 1.348291597990312951e+00 1.977245566536869781e+00 7.193376294437562324e-01 6.289539685465567187e-01
4.988664752374708300e+00 1.262083747311059101e+00 1.896594572217670693e+00 6.275729224044472865e-01 6.345108249066118145e-01
5.146914843668835893e+00 1.184725610773043947e+00 1.862315782827649757e+00 5.071354387184380252e-01 6.775901720546059215e-01
5.310184933827926557e+00 1.101348739813428512e+00 1.842313001964163144e+00 3.603844776626937141e-01 7.409642621507347426e-01
5.478634266921910800e+00 1.011146446340194904e+00 1.778315300493730211e+00 2.439775921866596253e-01 7.671688541535351957e-01
5.652427138550500274e+00 9.241113095681731116e-01 1.625908197666610544e+00 2.223144214697355958e-01 7.017968880984375435e-01
5.831733056087499811e+00 8.375681498793233759e-01 1.447077694484891097e+00 2.280586052737554603e-01 6.095095446055678323e-01
6.016726904008333321e+00 7.559169781907241203e-01 1.312928116175612336e+00 1.989058402058360708e-01 5.570111379848881050e-01
6.207589114462128244e+00 7.062632902563411585e-01 1.221422467184986704e+00 1.911041133276955850e-01 5.151591769286455458e-01
6.404505843254626463e+00 6.937817572073987638e-01 1.162690601304203097e+00 2.248729131105943191e-01 4.689088440968043892e-01
6.607669151413660735e+00 7.050703260167191511e-01 1.127175741709471879e+00 2.829649103239664232e-01 4.221054156927527279e-01
6.817277192514210604e+00 7.294755543134167075e-01 1.125692800663908866e+00 3.332583079629246603e-01 3.962172463504921027e-01
7.033534405945760959e+00 7.693006298714522018e-01 1.163523520494595731e+00 3.750777392483086725e-01 3.942228906231435848e-01
7.256651716310519973e+00 8.288292411623997546e-01 1.227636661507206295e+00 4.300218208175931589e-01 3.988074203448065957e-01
7.486846739146877816e+00 9.038326505468671224e-01 1.307775325708850023e+00 4.998899753848841110e-01 4.039426751619829559e-01
7.724343993178860224e+00 9.757838108084393447e-01 1.397953504607546860e+00 5.536141170093318298e-01 4.221696937991075704e-01
7.969375119298518939e+00 1.014762453515914542e+00 1.468950805706477514e+00 5.605741013253515703e-01 4.541883521905630272e-01
