Frequency_Hz,HVSR_Amplitude
0.050000,5.493978
0.620714,2.060094
1.191429,1.501759
1.762143,1.410120
2.332857,1.397402
2.903571,1.408180
3.474286,1.428559
4.045000,1.453817
4.615715,1.482080
5.186429,1.512504
5.757143,1.544692
6.327857,1.578480
6.898572,1.613819
7.469286,1.650719
8.040000,1.689267
8.610715,1.729573
9.181429,1.771791
9.752143,1.816137
10.322857,1.862872
10.893572,1.912325
11.464286,1.964919
12.035001,2.021176
12.605714,2.081719
13.176429,2.147172
13.747144,2.218031
14.317857,2.294315
14.888572,2.375154
15.459286,2.458473
16.030001,2.541207
16.600714,2.620049
17.171429,2.692350
17.742141,2.756220
18.312856,2.809899
18.883572,2.850602
19.454285,2.873243
20.024999,2.869088
20.595714,2.827501
21.166427,2.764275
21.737141,2.846809
22.307859,3.213215
22.878571,3.476746
23.449286,3.557900
24.020001,3.554278
24.590713,3.501576
25.161428,3.389624
25.732143,3.137678
26.302857,2.339687
26.873572,3.076083
27.444287,3.565590
28.014999,3.498285
28.585714,3.382915
29.156427,3.248205
29.727141,3.072921
30.297856,2.700597
30.868571,2.010815
31.439286,2.953182
32.010003,2.836541
32.580715,2.701716
33.151428,2.568730
33.722140,2.437480
34.292857,2.301488
34.863572,1.824706
35.434285,1.759397
36.005002,1.685342
36.575714,1.614279
37.146427,1.546841
37.717144,1.483549
38.287856,1.424880
38.858571,1.371265
39.429286,1.323078
40.000001,1.280622
