Frequency_Hz,HVSR_Amplitude
0.200000,1.705164
0.482857,1.370350
0.765714,1.405209
1.048571,1.489841
1.331428,1.603812
1.614286,1.748688
1.897143,1.930444
2.180000,2.152365
2.462857,2.408669
2.745714,2.696545
3.028571,3.045151
3.311428,3.515325
3.594286,4.190773
3.877143,5.195800
4.159999,6.585802
4.442857,10.883707
4.725714,18.753728
5.008571,23.689328
5.291428,29.517810
5.574285,23.403030
5.857143,21.342025
6.139999,19.033771
6.422857,16.803669
6.705714,14.764004
6.988570,12.951448
7.271428,11.389127
7.554285,9.876241
7.837142,8.660447
8.119999,7.248264
8.402856,6.486482
8.685714,5.067971
8.968571,4.077235
9.251428,3.233232
9.534284,2.545100
9.817142,1.992683
10.100000,1.542128
10.382856,1.170807
10.665713,0.906043
10.948571,0.839168
11.231427,0.901631
11.514285,0.972000
11.797142,1.027372
12.079999,1.069907
12.362856,1.104493
12.645713,1.129713
12.928570,1.151313
13.211428,1.169153
13.494285,1.183974
13.777142,1.196607
14.059998,1.206834
14.342855,1.217041
14.625714,1.225241
14.908570,1.231511
15.191427,1.238790
15.474284,1.246383
15.757142,1.254478
16.039999,1.263213
16.322857,1.272660
16.605713,1.283005
16.888571,1.294771
17.171429,1.309085
17.454285,1.327890
17.737142,1.354069
18.019998,1.391002
18.302857,1.439550
18.585714,1.488491
18.868570,1.520095
19.151429,1.529127
19.434285,1.529365
19.717142,1.527608
20.000000,1.522933
