Frequency_Hz,HVSR_Amplitude
0.200000,2.818897
0.482857,1.530569
0.765714,1.381805
1.048571,1.363582
1.331428,1.379354
1.614286,1.409044
1.897143,1.446757
2.180000,1.490548
2.462857,1.539874
2.745714,1.594793
3.028571,1.655624
3.311428,1.722691
3.594286,1.796073
3.877143,1.875271
4.159999,1.958921
4.442857,2.044853
4.725714,2.130852
5.008571,2.215960
5.291428,2.301385
5.574285,2.390227
5.857143,2.486351
6.139999,2.593396
6.422857,2.714282
6.705714,2.851187
6.988570,3.005559
7.271428,3.177579
7.554285,3.364581
7.837142,3.555777
8.119999,3.712672
8.402856,3.672496
8.685714,3.507636
8.968571,5.304122
9.251428,5.842967
9.534284,6.296168
9.817142,6.789494
10.100000,7.360429
10.382856,2.608651
10.665713,7.112974
10.948571,7.740334
11.231427,7.596578
11.514285,3.967704
11.797142,5.386927
12.079999,6.828484
12.362856,7.380034
12.645713,3.712318
12.928570,4.488791
13.211428,4.213444
13.494285,3.973941
13.777142,3.747519
14.059998,3.528726
14.342855,3.315827
14.625714,3.108282
14.908570,2.906014
15.191427,2.709162
15.474284,2.518073
15.757142,2.333411
16.039999,2.156474
16.322857,1.991323
16.605713,1.893892
16.888571,1.727542
17.171429,1.542120
17.454285,1.417219
17.737142,1.313489
18.019998,1.230336
18.302857,1.167756
18.585714,1.124248
18.868570,1.096862
19.151429,1.081928
19.434285,1.075946
19.717142,1.076272
20.000000,1.084397
