Frequency_Hz,HVSR_Amplitude
0.200000,2.201892
0.482857,1.424339
0.765714,1.370771
1.048571,1.396863
1.331428,1.447805
1.614286,1.513452
1.897143,1.592023
2.180000,1.684336
2.462857,1.792347
2.745714,1.918475
3.028571,2.064846
3.311428,2.232122
3.594286,2.419233
3.877143,2.625869
4.159999,2.857676
4.442857,3.130136
4.725714,3.467934
5.008571,3.905043
5.291428,4.489051
5.574285,5.287692
5.857143,6.353863
6.139999,6.571002
6.422857,13.465738
6.705714,21.396053
6.988570,23.308277
7.271428,22.587248
7.554285,19.398723
7.837142,17.112654
8.119999,15.206616
8.402856,14.037213
8.685714,12.185063
8.968571,10.981661
9.251428,9.924383
9.534284,8.980959
9.817142,8.128439
10.100000,7.350607
10.382856,6.634506
10.665713,5.967044
10.948571,5.335057
11.231427,4.730132
11.514285,4.150736
11.797142,3.593403
12.079999,3.054176
12.362856,2.540334
12.645713,2.045211
12.928570,1.565521
13.211428,1.142617
13.494285,0.821698
13.777142,0.753521
14.059998,0.850520
14.342855,0.934127
14.625714,0.993521
14.908570,1.036512
15.191427,1.063506
15.474284,1.098748
15.757142,1.123704
16.039999,1.143635
16.322857,1.160371
16.605713,1.174632
16.888571,1.186942
17.171429,1.197611
17.454285,1.184181
17.737142,1.215130
18.019998,1.222611
18.302857,1.229238
18.585714,1.235225
18.868570,1.240693
19.151429,1.245716
19.434285,1.250151
19.717142,1.251725
20.000000,1.241165
