Frequency_Hz,HVSR_Amplitude
0.200000,4.264436
0.768571,1.547936
1.337143,1.438338
1.905714,1.478664
2.474286,1.566462
3.042857,1.691202
3.611429,1.859323
4.180000,2.087748
4.748571,2.408800
5.317143,2.887259
5.885715,3.688378
6.454286,5.312687
7.022857,7.356271
7.591429,13.401454
8.160000,7.095971
8.728572,8.439275
9.297143,6.845772
9.865714,5.748834
10.434286,4.795086
11.002858,3.936947
11.571429,3.143862
12.140000,2.393963
12.708571,1.677875
13.277143,1.050841
13.845715,0.847370
14.414285,0.950282
14.982858,1.031879
15.551428,1.089242
16.120001,1.164919
16.688572,1.164425
17.257145,1.190048
17.825716,1.210566
18.394287,1.226809
18.962858,1.239986
19.531429,1.251257
20.100003,1.261914
20.668574,1.273804
21.237145,1.290159
21.805715,1.317272
22.374286,1.365696
22.942859,1.438167
23.511431,1.499926
24.080002,1.516375
24.648572,1.527330
25.217145,1.521915
25.785716,1.510396
26.354288,1.496910
26.922859,1.481726
27.491429,1.465005
28.060002,1.447671
28.628573,1.429763
29.197145,1.410473
29.765716,1.360702
30.334289,1.367505
30.902859,1.345921
31.471430,1.330003
32.040000,1.343165
32.608573,1.279666
33.177143,1.257008
33.745716,1.237848
34.314289,1.222009
34.882859,1.210612
35.451432,1.205329
36.020000,1.212026
36.588573,1.260371
37.157146,1.417471
37.725716,1.434058
38.294289,1.447717
38.862857,1.463411
39.431430,1.466350
40.000003,1.462109
