Frequency_Hz,HVSR_Amplitude
0.050000,6.375410
0.620714,1.442591
1.191429,1.398144
1.762143,1.441805
2.332857,1.499474
2.903571,1.562023
3.474286,1.627459
4.045000,1.695449
4.615715,1.766412
5.186429,1.841461
5.757143,1.922215
6.327857,2.009008
6.898572,2.096220
7.469286,2.169849
8.040000,2.215784
8.610715,2.228170
9.181429,2.206570
9.752143,2.157841
10.322857,2.126374
10.893572,2.188137
11.464286,2.237710
12.035001,2.175270
12.605714,2.040158
13.176429,1.875247
13.747144,1.766916
14.317857,1.778345
14.888572,1.752717
15.459286,1.654584
16.030001,1.546240
16.600714,1.483837
17.171429,1.465707
17.742141,1.445931
18.312856,1.396872
18.883572,1.260387
19.454285,1.287755
20.024999,1.257415
20.595714,1.237008
21.166427,1.223573
21.737141,1.215893
22.307859,1.217821
22.878571,1.386231
23.449286,1.248163
24.020001,1.212638
24.590713,1.211319
25.161428,1.214507
25.732143,1.220262
26.302857,1.228226
26.873572,1.237860
27.444287,1.248434
28.014999,1.259344
28.585714,1.270248
29.156427,1.281012
29.727141,1.291633
30.297856,1.302161
30.868571,1.312669
31.439286,1.323242
32.010003,1.333964
32.580715,1.344912
33.151428,1.356150
33.722140,1.367707
34.292857,1.379548
34.863572,1.391535
35.434285,1.403394
36.005002,1.414698
36.575714,1.424921
37.146427,1.433541
37.717144,1.440173
38.287856,1.444632
38.858571,1.446910
39.429286,1.447055
40.000001,1.444757
