frequency,median_amplitude
0.049999999999999996,1.4958370156182046
0.06993988295332818,1.6039670594555373
0.08987975642028277,1.7389847492916237
0.10981963937361094,1.9073065806725777
0.12975952232693913,2.1236481500995446
0.14969938630752014,2.4186470839177394
0.1696392787472219,2.798485355259019
0.1895791427278029,3.1141221633588865
0.2095190256811311,3.1447034944201313
0.22945890863445928,3.7712105285156188
0.24939879158778747,4.2526084048827055
0.26933867454111565,4.953280966600881
0.2892785574944438,5.213331152713323
0.30921844044777197,5.201082612153858
0.329158304428353,4.844215308441095
0.34909820635442834,2.9596560660079847
0.36903807033500935,2.5545908432432594
0.38897793431559036,2.282766243402697
0.4089178362416657,2.054069170361921
0.42885770022224673,1.887883015063173
0.4487976021483221,1.8089058455402294
0.4687374661289031,1.800641257300653
0.4886773680549784,1.8697613620695288
0.5086172320355594,1.9268871943115071
0.5285571339616348,2.027045455240901
0.5484969599967214,2.0558853295807893
0.5684368619227969,2.276867437588132
0.5883767638488722,2.1881986844277073
0.6083165898839589,2.2139199408972097
0.6282564918100342,2.3868745877151634
0.6481963937361095,2.432896419657953
0.6681362197711962,2.540570110954786
0.6880761216972715,2.576918019900038
0.7080160236233469,2.7122417933051537
0.7279558496584336,2.7745039983070576
0.7478957515845089,2.819888011139244
0.7678356535105842,2.8462191542005764
0.787775479545671,2.8638896783306382
0.8077153814717463,2.875274386529563
0.8276552833978217,2.8914579909787634
0.847595185323897,2.9038154123024893
0.8675350872499723,2.903728247756317
0.8874749891760477,2.9020050820365806
0.9074148152111343,2.9042235330730772
0.9273547171372097,2.908269086300706
0.947294619063285,2.9101406435043202
0.9672344450983718,2.887790850020323
0.9871743470244471,2.893708314011949
1.0071141730595337,2.9937229125291966
1.0270540749856092,2.9719056288098127
1.0469939769116845,2.9839820418252048
1.0669337270557824,2.9792852090352815
1.086873628981858,2.997888455102051
1.1068135309079332,2.9942962139166425
1.1267534328340085,3.038394967245728
1.1466933347600838,3.041804660594962
1.1666331607951705,3.0666295446979577
1.1865730627212459,3.0443480096675724
1.2065129646473212,3.020105270880272
1.2264527906824079,3.068726466789893
1.2463926926084832,3.034557287092789
1.2663325945345585,3.027597621512891
1.2862724205696452,3.0178588955708596
1.3062123224957205,3.008013131148445
1.326152224421796,3.015281845412732
1.3460921263478713,3.0202059771550323
1.3660320282739467,3.022534739612975
1.3859717784180448,3.023752490211099
1.40591168034412,3.0246933371070215
1.4258515822701954,3.0260353403019624
1.4457914841962707,3.0296976572736467
1.465731386122346,3.0352115433143094
1.4856712880484213,3.04062013366873
1.5056110381925194,3.046971669498202
1.5255509401185947,3.062330715479078
1.54549084204467,3.0644034659850616
1.5654307439707453,3.0590426267988464
1.5853706458968209,3.0703739095308724
1.6053105478228962,3.0745142758113264
1.625250297966994,3.054788936519749
1.6451901998930696,3.043857394463643
1.665130101819145,3.0429454486552503
1.6850700037452202,3.041250487867524
1.7050099056712955,3.0467201869939453
1.7249498075973708,3.0528494647139146
1.744889557741469,3.059538570939056
1.7648294596675442,3.0443737435433134
1.7847693615936195,3.0456775002332126
1.8047092635196949,3.0404755098358542
1.8246491654457702,3.030813960183672
1.8445890673718457,2.9811305835878787
1.864528969297921,2.983222742456253
1.8844687194420189,3.0019672764557015
1.9044086213680944,3.00538453621454
1.9243485232941697,2.9964910932676654
1.944288425220245,2.985762023538708
1.9642283271463203,2.9750457955734575
1.9841682290723957,2.9647563728018813
2.004108130998471,2.954827352157997
2.0240480329245463,2.9451233095586504
2.043987934850622,2.929501557896538
2.0639276849947197,2.922850284996163
2.083867586920795,2.9170367370922503
2.1038074888468703,2.9282009229614268
2.123747390772946,2.900651393358385
2.143687292699021,2.8727588144078573
2.1636271946250965,2.8749741105984343
2.183567096551172,2.8742696772953797
2.203506998477247,2.8446605705269823
2.2234469004033226,2.8267259009422796
2.2433868023293977,2.7720219020930776
2.2633264006915184,2.788900097375225
2.283266302617594,2.780445238712243
2.3032062045436694,2.7639492210090264
2.3231461064697445,2.754777748222272
2.34308600839582,2.745347936025346
2.363025910321895,2.7365078310060533
2.3829658122479707,2.732396481123314
2.4029057141740457,2.717485710278371
2.4228456161001213,2.702810524145388
2.442785518026197,2.6885519314099753
2.462725419952272,2.668916581276882
2.4826653218783474,2.657551036135052
2.502604920240468,2.6449001524735563
2.522544822166543,2.630670889242917
2.5424847240926187,2.6143857434009075
2.5624246260186943,2.5945143762655127
2.5823645279447693,2.5749466472474074
2.602304429870845,2.5566726866226928
2.62224433179692,2.5391472529054027
2.6421842337229955,2.519457418568219
2.6621241356490706,2.5075183653412814
2.682064037575146,2.497814988743206
2.7020039395012216,2.4933511085548608
2.7219435378633423,2.4648526283908003
2.7418834397894174,2.4526955975046736
2.761823341715493,2.440291758998747
2.781763243641568,2.428343449581519
2.8017031455676435,2.4190747124273604
2.821643047493719,2.410442730111937
2.841582949419794,2.4020557143927697
2.8615228513458697,2.3941148730066835
2.881462753271945,2.3866444287888298
2.9014026551980203,2.3793538155278036
2.9213425571240954,2.3539652571296443
2.941282459050171,2.365588875206876
2.9612220574122916,2.360541681238559
2.981161959338367,2.3552953560725367
3.0011018612644422,2.3619025719114974
3.0210417631905178,2.3473511077456495
3.040981665116593,2.338490999205674
3.0609215670426684,2.335382707299533
3.080861468968744,2.3298114056477948
3.100801370894819,2.326616059317306
3.1207412728208945,2.343047493892384
3.1406811747469696,2.3174034741391516
3.160621076673045,2.3119196733404497
3.1805609785991202,2.3066852309365524
3.200500576961241,2.30167641641071
3.2204404788873164,2.298125454012685
3.240380380813392,2.2915171719206717
3.260320282739467,2.284320468285025
3.2802601846655426,2.2793543429750645
3.3002000865916177,2.2343528023600316
3.320139988517693,2.2707411054124047
3.3400798904437687,2.2667965730379267
3.360019792369844,2.2627872034831915
3.3799596942959194,2.258921728747528
3.3998995962219944,2.25522369654977
3.41983949814807,2.251808273761257
3.439779400074145,2.24585387664728
3.4597193020002206,2.242478524996287
3.479659203926296,2.295380238542924
3.499599105852371,2.231604885452422
3.5195390077784467,2.227409072400649
3.539478909704522,2.224841691273173
3.5594188116305974,2.2203956480520723
3.5793587135566725,2.2163922203254387
3.599298615482748,2.2114034616323526
3.6192385174088235,2.2057399319985236
3.6391784193348986,2.198167385279043
3.6591180176970193,2.1949960495838794
3.679057919623095,2.18667123407002
3.69899782154917,2.23318130980877
3.7189377234752454,2.176485333870435
3.738877625401321,2.1723040551614767
3.758817527327396,2.1712389409330353
3.7787574292534716,2.1692190531847686
3.7986973311795467,2.1698333938553223
3.818637233105622,2.1686561672634825
3.8385771350316973,2.167581340546102
3.858517036957773,2.1641916372271037
3.8784569388838483,2.165318206372597
3.898396537245969,2.1680604281226796
3.918336439172044,2.1697464212374022
3.9382763410981196,2.210962722470382
3.9582162430241947,2.174449787890775
3.9781561449502703,2.1781901118938265
3.998096046876346,2.182670781653349
4.018035948802421,2.185728231474439
4.037975850728496,2.1885686094151473
4.057915752654572,2.191207489846775
4.077855654580647,2.1953612009004937
4.097795556506722,2.1979223875278326
4.117735458432798,2.20301553678336
4.137675360358873,2.1973565141991576
4.157615262284948,2.1997922410278252
4.177555164211023,2.2048280504138926
4.197495066137099,2.198669148561357
4.217434968063174,2.1961071654324167
4.2373748699892495,2.199827689220689
4.2573147719153255,2.2077680771832444
4.277254673841401,2.180298422159211
4.297194575767476,2.187440284768139
4.317134477693551,2.18555880542582
4.337074379619627,2.1835730647417937
4.357014281545702,2.1857758411807593
4.376954183471777,2.1850928348574
4.396894085397853,2.183373942032487
4.416833987323928,2.2040755747607466
4.436773889250003,2.181557299548671
4.456713791176078,2.1781992714108864
4.476653085974244,2.1750321022112686
4.4965929879003195,2.172058250893149
4.5165328898263954,2.1695376919423737
4.5364727917524705,2.164259728514715
4.556412693678546,2.162963904717363
4.576352595604622,2.1612232446160977
4.596292497530697,2.160605597116803
4.616232399456772,2.161061435296123
4.636172301382848,2.1604571450733063
4.656112203308923,2.1562815932917747
4.676052105234998,2.150326732478102
4.695992007161073,2.1492456049157
4.715931909087149,2.1425279546321687
4.735871811013224,2.1391881886800546
4.755811712939299,2.1488081282359777
4.775751614865375,2.131154128330335
4.79569151679145,2.126600375288951
4.815631418717525,2.138652220528347
4.8355713206436,2.1206280046522252
4.855511222569676,2.1181055826108155
4.8754511244957515,2.1155485450640885
4.8953910264218266,2.1130206220067986
4.9153309283479025,2.1107210620002608
4.935270223146068,2.1085258683842656
4.955210125072144,2.106191659796494
