Frequency_Hz,HVSR_Amplitude
0.200000,1.669924
0.482857,1.374127
0.765714,1.422611
1.048571,1.522582
1.331428,1.658357
1.614286,1.836269
1.897143,2.067953
2.180000,2.358415
2.462857,2.700006
2.745714,3.123807
3.028571,3.744079
3.311428,4.743728
3.594286,6.121531
3.877143,11.568052
4.159999,6.422155
4.442857,11.177981
4.725714,12.013960
5.008571,10.169107
5.291428,8.852133
5.574285,7.737963
5.857143,6.951660
6.139999,5.860215
6.422857,5.002225
6.705714,4.158430
6.988570,3.312583
7.271428,2.473639
7.554285,1.715872
7.837142,1.242597
8.119999,1.140916
8.402856,1.172451
8.685714,1.215949
8.968571,1.252464
9.251428,1.281205
9.534284,1.303512
9.817142,1.316242
10.100000,1.330492
10.382856,1.346431
10.665713,1.358043
10.948571,1.369490
11.231427,1.382249
11.514285,1.397499
11.797142,1.415574
12.079999,1.432890
12.362856,1.447352
12.645713,1.465670
12.928570,1.478152
13.211428,1.480649
13.494285,1.489107
13.777142,1.469478
14.059998,1.455459
14.342855,1.438387
14.625714,1.419429
14.908570,1.397621
15.191427,1.375818
15.474284,1.365934
15.757142,1.349571
16.039999,1.331559
16.322857,1.312227
16.605713,1.288715
16.888571,1.278724
17.171429,1.269267
17.454285,1.257101
17.737142,1.245551
18.019998,1.230252
18.302857,1.223206
18.585714,1.218167
18.868570,1.216288
19.151429,1.218113
19.434285,1.224743
19.717142,1.238920
20.000000,1.267551
