Frequency_Hz,HVSR_Amplitude
0.200000,2.638948
0.482857,1.494032
0.765714,1.370301
1.048571,1.360378
1.331428,1.379977
1.614286,1.411712
1.897143,1.450532
2.180000,1.494776
2.462857,1.543991
2.745714,1.598164
3.028571,1.657362
3.311428,1.721528
3.594286,1.790082
3.877143,1.861757
4.159999,1.934579
4.442857,2.006404
4.725714,2.075885
5.008571,2.143263
5.291428,2.210319
5.574285,2.279645
5.857143,2.353742
6.139999,2.434611
6.422857,2.523602
6.705714,2.621573
6.988570,2.728941
7.271428,2.845590
7.554285,2.970535
7.837142,3.101000
8.119999,3.229998
8.402856,3.339488
8.685714,3.379605
8.968571,3.256388
9.251428,3.765666
9.534284,4.730466
9.817142,5.142315
10.100000,5.474999
10.382856,5.819524
10.665713,6.190556
10.948571,6.602554
11.231427,7.134932
11.514285,6.755385
11.797142,7.465297
12.079999,7.891119
12.362856,8.165557
12.645713,7.393750
12.928570,3.476795
13.211428,6.346304
13.494285,7.600194
13.777142,8.180570
14.059998,8.203727
14.342855,5.564143
14.625714,5.327743
14.908570,5.160948
15.191427,5.011309
15.474284,4.867078
15.757142,4.724867
16.039999,4.583731
16.322857,4.443555
16.605713,4.304567
16.888571,4.167584
17.171429,4.035175
17.454285,3.931876
17.737142,4.050340
18.019998,3.649421
18.302857,3.517742
18.585714,3.397693
18.868570,3.284571
19.151429,3.178683
19.434285,3.080999
19.717142,2.992516
20.000000,2.913974
