Frequency_Hz,HVSR_Amplitude
0.200000,1.488092
0.482857,1.377162
0.765714,1.471319
1.048571,1.611788
1.331428,1.797652
1.614286,2.029704
1.897143,2.282529
2.180000,2.553167
2.462857,2.904394
2.745714,3.394912
3.028571,4.007454
3.311428,4.166409
3.594286,7.405009
3.877143,9.317946
4.159999,10.422436
4.442857,7.472342
4.725714,5.768721
5.008571,6.554315
5.291428,6.002484
5.574285,5.432786
5.857143,4.823001
6.139999,4.190230
6.422857,3.555167
6.705714,3.032521
6.988570,2.456351
7.271428,2.387562
7.554285,2.208742
7.837142,2.061234
8.119999,1.922956
8.402856,1.786028
8.685714,1.650353
8.968571,1.519750
9.251428,1.399784
9.534284,1.296986
9.817142,1.217448
10.100000,1.163560
10.382856,1.132532
10.665713,1.118743
10.948571,1.116371
11.231427,1.120785
11.514285,1.128913
11.797142,1.141188
12.079999,1.149649
12.362856,1.157857
12.645713,1.163943
12.928570,1.184800
13.211428,1.203371
13.494285,1.210596
13.777142,1.242727
14.059998,1.193765
14.342855,1.260031
14.625714,1.271149
14.908570,1.280439
15.191427,1.288994
15.474284,1.264058
15.757142,1.305359
16.039999,1.317584
16.322857,1.331936
16.605713,1.348260
16.888571,1.365742
17.171429,1.383249
17.454285,1.399686
17.737142,1.414143
18.019998,1.426680
18.302857,1.446637
18.585714,1.449989
18.868570,1.457895
19.151429,1.462829
19.434285,1.463687
19.717142,1.452809
20.000000,1.455509
