Profile,f0_Hz,f0_Amplitude,Secondary_Peaks
Profile_1,0.315776,5.384623,
Profile_2,0.315776,6.087317,
Profile_3,0.265943,4.764483,
Profile_4,0.265943,5.902927,
Profile_5,0.282554,5.918283,
Profile_6,0.282554,6.039535,
Profile_7,0.299165,4.914769,
Profile_8,0.265943,5.197606,
Profile_9,0.265943,5.276042,
Profile_10,0.299165,5.399961,
Median,0.282554,4.857146,1.661 Hz
