Frequency_Hz,HVSR_Amplitude
0.050000,5.313170
0.620714,2.481472
1.191429,1.619810
1.762143,1.451468
2.332857,1.407444
2.903571,1.400971
3.474286,1.409696
4.045000,1.425960
4.615715,1.446621
5.186429,1.470233
5.757143,1.496084
6.327857,1.523806
6.898572,1.553220
7.469286,1.584249
8.040000,1.616884
8.610715,1.651154
9.181429,1.687124
9.752143,1.724885
10.322857,1.764554
10.893572,1.806283
11.464286,1.850245
12.035001,1.896663
12.605714,1.945821
13.176429,1.998072
13.747144,2.053888
14.317857,2.113866
14.888572,2.178750
15.459286,2.249397
16.030001,2.326533
16.600714,2.410279
17.171429,2.499370
17.742141,2.590605
18.312856,2.679239
18.883572,2.760586
19.454285,2.831503
20.024999,2.890181
20.595714,2.934740
21.166427,2.961364
21.737141,2.962058
22.307859,2.921388
22.878571,2.814955
23.449286,2.670472
24.020001,2.875867
24.590713,3.338858
25.161428,3.496095
25.732143,3.499263
26.302857,3.447721
26.873572,3.360329
27.444287,3.221526
28.014999,2.944592
28.585714,2.033336
29.156427,3.010491
29.727141,3.234451
30.297856,3.129607
30.868571,2.998498
31.439286,2.854798
32.010003,2.683546
32.580715,2.406778
33.151428,1.394916
33.722140,2.393001
34.292857,2.384081
34.863572,2.263667
35.434285,2.138936
36.005002,2.017773
36.575714,1.900655
37.146427,1.766024
37.717144,1.498176
38.287856,1.437792
38.858571,1.381541
39.429286,1.330902
40.000001,1.286078
