Frequency_Hz,HVSR_Amplitude
0.200000,1.771840
0.482857,1.374051
0.765714,1.394036
1.048571,1.465881
1.331428,1.563817
1.614286,1.686853
1.897143,1.839297
2.180000,2.025839
2.462857,2.246320
2.745714,2.494602
3.028571,2.775019
3.311428,3.120176
3.594286,3.585339
3.877143,4.245950
4.159999,5.208680
4.442857,6.397490
4.725714,10.836822
5.008571,17.859737
5.291428,21.582468
5.574285,24.217880
5.857143,18.625100
6.139999,16.756258
6.422857,15.148946
6.705714,13.283630
6.988570,11.793403
7.271428,10.440519
7.554285,9.208535
7.837142,8.087328
8.119999,7.033685
8.402856,6.037744
8.685714,5.108677
8.968571,4.250636
9.251428,3.386156
9.534284,2.649832
9.817142,2.036256
10.100000,1.551572
10.382856,1.170621
10.665713,0.905334
10.948571,0.838618
11.231427,0.900452
11.514285,0.969911
11.797142,1.025811
12.079999,1.069049
12.362856,1.102462
12.645713,1.128225
12.928570,1.148869
13.211428,1.168148
13.494285,1.184290
13.777142,1.196599
14.059998,1.204493
14.342855,1.215048
14.625714,1.226777
14.908570,1.235411
15.191427,1.236872
15.474284,1.259038
15.757142,1.259976
16.039999,1.268573
16.322857,1.267910
16.605713,1.282556
16.888571,1.294493
17.171429,1.309962
17.454285,1.328334
17.737142,1.354727
18.019998,1.392240
18.302857,1.442952
18.585714,1.492460
18.868570,1.518400
19.151429,1.527121
19.434285,1.528447
19.717142,1.535177
20.000000,1.522065
