Frequency_Hz,HVSR_Amplitude
0.200000,1.429969
0.768571,1.564589
1.337143,1.901173
1.905714,2.455096
2.474286,3.093772
3.042857,4.103403
3.611429,4.335584
4.180000,3.558981
4.748571,2.008190
5.317143,1.527782
5.885715,1.259593
6.454286,1.167107
7.022857,1.159977
7.591429,1.190762
8.160000,1.220833
8.728572,1.249907
9.297143,1.279869
9.865714,1.307900
10.434286,1.295142
11.002858,1.388820
11.571429,1.448611
12.140000,1.473919
12.708571,1.469084
13.277143,1.605067
13.845715,1.423028
14.414285,1.400033
14.982858,1.369571
15.551428,1.329176
16.120001,1.321623
16.688572,1.314485
17.257145,1.335194
17.825716,1.291548
18.394287,1.386516
18.962858,1.414989
19.531429,1.426739
20.100003,1.424088
20.668574,1.410789
21.237145,1.397690
21.805715,1.378565
22.374286,1.358415
22.942859,1.358983
23.511431,1.329525
24.080002,1.318386
24.648572,1.265782
25.217145,1.303960
25.785716,1.340566
26.354288,1.368873
26.922859,1.387420
27.491429,1.402941
28.060002,1.384438
28.628573,1.349626
29.197145,1.348005
29.765716,1.375582
30.334289,1.354306
30.902859,1.349100
31.471430,1.342786
32.040000,1.338856
32.608573,1.335222
33.177143,1.332874
33.745716,1.348754
34.314289,1.377116
34.882859,1.386727
35.451432,2.082050
36.020000,1.387281
36.588573,1.384322
37.157146,1.340282
37.725716,1.362100
38.294289,1.360026
38.862857,1.356639
39.431430,1.348594
40.000003,1.305826
