Frequency_Hz,HVSR_Amplitude
0.200000,1.541524
0.482857,1.438899
0.765714,1.651626
1.048571,2.075899
1.331428,2.998843
1.614286,5.247376
1.897143,26.276522
2.180000,14.445813
2.462857,9.149543
2.745714,6.313675
3.028571,4.254464
3.311428,2.431327
3.594286,0.744467
3.877143,1.007285
4.159999,1.130820
4.442857,1.190883
4.725714,1.223299
5.008571,1.242887
5.291428,1.258741
5.574285,1.281023
5.857143,1.394856
6.139999,1.524990
6.422857,1.531550
6.705714,1.511678
6.988570,1.484430
7.271428,1.451821
7.554285,1.415151
7.837142,1.375047
8.119999,1.332391
8.402856,1.289046
8.685714,1.248488
8.968571,1.216741
9.251428,1.199796
9.534284,1.209859
9.817142,1.455859
10.100000,1.462210
10.382856,1.460463
10.665713,1.448866
10.948571,1.432011
11.231427,1.412071
11.514285,1.388210
11.797142,1.359602
12.079999,1.327887
12.362856,1.314372
12.645713,1.292538
12.928570,1.274897
13.211428,1.263056
13.494285,1.262620
13.777142,1.300158
14.059998,1.399656
14.342855,1.429068
14.625714,1.423396
14.908570,1.410938
15.191427,1.397244
15.474284,1.383320
15.757142,1.369384
16.039999,1.355664
16.322857,1.342587
16.605713,1.330683
16.888571,1.320746
17.171429,1.314668
17.454285,1.317644
17.737142,1.329493
18.019998,1.367834
18.302857,1.422244
18.585714,1.423956
18.868570,1.414504
19.151429,1.401691
19.434285,1.384588
19.717142,1.366605
20.000000,1.346972
