Frequency_Hz,HVSR_Amplitude
0.200000,1.776209
0.482857,1.384983
0.765714,1.421367
1.048571,1.520989
1.331428,1.663151
1.614286,1.855618
1.897143,2.117395
2.180000,2.474227
2.462857,2.947074
2.745714,3.579506
3.028571,4.583659
3.311428,6.569293
3.594286,10.636026
3.877143,34.331816
4.159999,31.280713
4.442857,19.234141
4.725714,15.435430
5.008571,13.077077
5.291428,11.360471
5.574285,10.025200
5.857143,8.884978
6.139999,7.835561
6.422857,6.803314
6.705714,5.716238
6.988570,4.428830
7.271428,2.874646
7.554285,1.503232
7.837142,1.156375
8.119999,1.134750
8.402856,1.176177
8.685714,1.222950
8.968571,1.260005
9.251428,1.287384
9.534284,1.307744
9.817142,1.324227
10.100000,1.336927
10.382856,1.347290
10.665713,1.356556
10.948571,1.365989
11.231427,1.390351
11.514285,1.391090
11.797142,1.408873
12.079999,1.430766
12.362856,1.454166
12.645713,1.478098
12.928570,1.496368
13.211428,1.498130
13.494285,1.488600
13.777142,1.473609
14.059998,1.456158
14.342855,1.437635
14.625714,1.418657
14.908570,1.399642
15.191427,1.381372
15.474284,1.361650
15.757142,1.343147
16.039999,1.325182
16.322857,1.307892
16.605713,1.291442
16.888571,1.276486
17.171429,1.261813
17.454285,1.249013
17.737142,1.237884
18.019998,1.228687
18.302857,1.221743
18.585714,1.217412
18.868570,1.216119
19.151429,1.217175
19.434285,1.225139
19.717142,1.240960
20.000000,1.271382
