Frequency_Hz,HVSR_Amplitude
0.200000,3.603841
0.768571,1.485308
1.337143,1.436297
1.905714,1.500648
2.474286,1.608145
3.042857,1.755572
3.611429,1.954504
4.180000,2.229399
4.748571,2.628091
5.317143,3.254300
5.885715,4.408421
6.454286,7.035342
7.022857,12.526794
7.591429,18.523258
8.160000,13.062551
8.728572,10.219300
9.297143,8.408895
9.865714,6.980905
10.434286,5.789121
11.002858,4.887953
11.571429,3.775768
12.140000,2.857516
12.708571,1.958747
13.277143,1.100482
13.845715,0.774621
14.414285,0.944678
14.982858,1.033925
15.551428,1.098495
16.120001,1.142677
16.688572,1.174318
17.257145,1.197803
17.825716,1.215645
18.394287,1.229540
18.962858,1.240755
19.531429,1.250449
20.100003,1.259983
20.668574,1.271393
21.237145,1.287977
21.805715,1.323389
22.374286,1.379037
22.942859,1.444956
23.511431,1.499882
24.080002,1.514802
24.648572,1.536454
25.217145,1.516413
25.785716,1.511993
26.354288,1.497780
26.922859,1.483543
27.491429,1.467436
28.060002,1.449918
28.628573,1.431197
29.197145,1.411407
29.765716,1.390666
30.334289,1.369114
30.902859,1.346956
31.471430,1.324483
32.040000,1.302124
32.608573,1.280430
33.177143,1.260035
33.745716,1.241549
34.314289,1.225665
34.882859,1.214012
35.451432,1.211729
36.020000,1.214250
36.588573,1.271729
37.157146,1.418899
37.725716,1.427514
38.294289,1.438437
38.862857,1.454183
39.431430,1.467533
40.000003,1.459881
