Frequency_Hz,HVSR_Amplitude
0.200000,1.630152
0.482857,1.394225
0.765714,1.425033
1.048571,1.482218
1.331428,1.547634
1.614286,1.618013
1.897143,1.692720
2.180000,1.772026
2.462857,1.856914
2.745714,1.949252
3.028571,2.051248
3.311428,2.161828
3.594286,2.270387
3.877143,2.359269
4.159999,2.416224
4.442857,2.435595
4.725714,2.412044
5.008571,2.361092
5.291428,2.417563
5.574285,2.616379
5.857143,2.677248
6.139999,2.602798
6.422857,2.435196
6.705714,2.192672
6.988570,2.176052
7.271428,2.419778
7.554285,2.444800
7.837142,2.336972
8.119999,2.169412
8.402856,2.039014
8.685714,2.103212
8.968571,2.247649
9.251428,2.328290
9.534284,2.343671
9.817142,1.857905
10.100000,2.155463
10.382856,2.118333
10.665713,2.085936
10.948571,2.064790
11.231427,2.164480
11.514285,2.046020
11.797142,2.001717
12.079999,1.978304
12.362856,1.953827
12.645713,1.926662
12.928570,1.897397
13.211428,1.873989
13.494285,2.929797
13.777142,1.812306
14.059998,1.768338
14.342855,1.734371
14.625714,1.702205
14.908570,1.670171
15.191427,1.637689
15.474284,1.604881
15.757142,1.572194
16.039999,1.540124
16.322857,1.509108
16.605713,1.479488
16.888571,1.451532
17.171429,1.425413
17.454285,1.401258
17.737142,1.379122
18.019998,1.359012
18.302857,1.340884
18.585714,1.324657
18.868570,1.310203
19.151429,1.297380
19.434285,1.286036
19.717142,1.276000
20.000000,1.267059
