Frequency_Hz,HVSR_Amplitude
0.200000,1.592753
0.768571,1.657970
1.337143,2.704300
1.905714,12.619250
2.474286,7.003255
3.042857,3.263127
3.611429,0.804248
4.180000,1.149861
4.748571,1.222877
5.317143,1.265308
5.885715,1.390081
6.454286,1.532634
7.022857,1.482228
7.591429,1.411968
8.160000,1.336205
8.728572,1.243441
9.297143,1.199802
9.865714,1.444635
10.434286,1.464438
11.002858,1.429798
11.571429,1.385691
12.140000,1.324988
12.708571,1.290798
13.277143,1.259128
13.845715,1.300502
14.414285,1.430201
14.982858,1.407198
15.551428,1.377506
16.120001,1.349943
16.688572,1.327305
17.257145,1.311324
17.825716,1.353541
18.394287,1.421428
18.962858,1.409948
19.531429,1.381041
20.100003,1.337932
20.668574,1.328182
21.237145,1.308665
21.805715,1.339083
22.374286,1.402665
22.942859,1.388728
23.511431,1.373219
24.080002,1.356806
24.648572,1.285660
25.217145,1.323660
25.785716,1.361882
26.354288,1.381389
26.922859,1.396049
27.491429,1.377871
28.060002,1.353864
28.628573,1.330542
29.197145,1.329224
29.765716,1.330536
30.334289,1.383525
30.902859,1.351370
31.471430,1.346279
32.040000,1.090248
32.608573,1.342280
33.177143,1.340285
33.745716,1.346248
34.314289,1.376650
34.882859,1.365526
35.451432,1.341951
36.020000,1.322600
36.588573,1.309083
37.157146,1.323092
37.725716,1.334613
38.294289,1.367017
38.862857,1.349122
39.431430,1.334961
40.000003,1.321572
