Frequency_Hz,HVSR_Amplitude
0.200000,2.726512
0.768571,1.415455
1.337143,1.416050
1.905714,1.474733
2.474286,1.550459
3.042857,1.638007
3.611429,1.737469
4.180000,1.850806
4.748571,1.981791
5.317143,2.137801
5.885715,2.331142
6.454286,2.558429
7.022857,2.757329
7.591429,2.867557
8.160000,2.806037
8.728572,2.745255
9.297143,3.334576
9.865714,3.140492
10.434286,2.129766
11.002858,2.965329
11.571429,2.607012
12.140000,1.602762
12.708571,2.139626
13.277143,1.849199
13.845715,1.421401
14.414285,1.298045
14.982858,1.207453
15.551428,1.154679
16.120001,1.130784
16.688572,1.125442
17.257145,1.130461
17.825716,1.140572
18.394287,1.152732
18.962858,1.165306
19.531429,1.177632
20.100003,1.190606
20.668574,1.219254
21.237145,1.388880
21.805715,1.225687
22.374286,1.231028
22.942859,1.241682
23.511431,1.254188
24.080002,1.268627
24.648572,1.286194
25.217145,1.311942
25.785716,1.457932
26.354288,1.412627
26.922859,1.398752
27.491429,1.422454
28.060002,1.443876
28.628573,1.459652
29.197145,1.469482
29.765716,1.474143
30.334289,1.474695
30.902859,1.472073
31.471430,1.466972
32.040000,1.459830
32.608573,1.450795
33.177143,1.439537
33.745716,1.424442
34.314289,1.399053
34.882859,1.338379
35.451432,1.265524
36.020000,1.307972
36.588573,1.330073
37.157146,1.332055
37.725716,1.326661
38.294289,1.318253
38.862857,1.308421
39.431430,1.297878
40.000003,1.287040
