Frequency_Hz,HVSR_Amplitude
0.200000,2.484855
0.482857,1.469094
0.765714,1.372036
1.048571,1.377106
1.331428,1.410689
1.614286,1.458116
1.897143,1.515638
2.180000,1.582618
2.462857,1.659643
2.745714,1.747879
3.028571,1.848526
3.311428,1.962122
3.594286,2.087562
3.877143,2.221579
4.159999,2.360463
4.442857,2.504078
4.725714,2.658329
5.008571,2.833122
5.291428,3.038982
5.574285,3.285466
5.857143,3.581040
6.139999,3.931178
6.422857,4.327008
6.705714,4.674328
6.988570,4.120125
7.271428,7.061175
7.554285,8.308641
7.837142,9.698525
8.119999,11.042521
8.402856,9.462038
8.685714,12.288617
8.968571,7.869786
9.251428,9.912265
9.534284,13.417568
9.817142,9.290799
10.100000,8.760232
10.382856,8.513633
10.665713,8.305258
10.948571,8.098752
11.231427,7.879229
11.514285,7.636857
11.797142,7.362627
12.079999,7.050571
12.362856,6.774923
12.645713,6.297205
12.928570,5.845092
13.211428,5.380432
13.494285,4.917659
13.777142,4.485393
14.059998,4.109235
14.342855,3.783020
14.625714,3.496860
14.908570,3.281366
15.191427,3.114209
15.474284,2.976287
15.757142,2.855147
16.039999,2.743190
16.322857,2.635963
16.605713,2.531051
16.888571,2.427303
17.171429,2.324200
17.454285,2.221503
17.737142,2.119093
18.019998,2.016983
18.302857,1.915319
18.585714,1.814411
18.868570,1.714770
19.151429,1.617119
19.434285,1.522523
19.717142,1.432298
20.000000,1.348124
