Frequency_Hz,HVSR_Amplitude
0.200000,1.754844
0.482857,1.382125
0.765714,1.420492
1.048571,1.519619
1.331428,1.659671
1.614286,1.848170
1.897143,2.102915
2.180000,2.445707
2.462857,2.888664
2.745714,3.467768
3.028571,4.371531
3.311428,6.075394
3.594286,9.057611
3.877143,26.917438
4.159999,20.384401
4.442857,18.207644
4.725714,14.734489
5.008571,12.467880
5.291428,10.822185
5.574285,9.507467
5.857143,8.384226
6.139999,7.349166
6.422857,6.329804
6.705714,5.265300
6.988570,4.075584
7.271428,2.746125
7.554285,1.570086
7.837142,1.163944
8.119999,1.134225
8.402856,1.176859
8.685714,1.217631
8.968571,1.257069
9.251428,1.286666
9.534284,1.308389
9.817142,1.324064
10.100000,1.335564
10.382856,1.346981
10.665713,1.356887
10.948571,1.366304
11.231427,1.377137
11.514285,1.390498
11.797142,1.408778
12.079999,1.429539
12.362856,1.453344
12.645713,1.474266
12.928570,1.493214
13.211428,1.495009
13.494285,1.489881
13.777142,1.476583
14.059998,1.456602
14.342855,1.438210
14.625714,1.419295
14.908570,1.400230
15.191427,1.381212
15.474284,1.362394
15.757142,1.343908
16.039999,1.325901
16.322857,1.308550
16.605713,1.292405
16.888571,1.276866
17.171429,1.262014
17.454285,1.249015
17.737142,1.237706
18.019998,1.228354
18.302857,1.221593
18.585714,1.217109
18.868570,1.215667
19.151429,1.218145
19.434285,1.225552
19.717142,1.240811
20.000000,1.271186
