Frequency_Hz,HVSR_Amplitude
0.200000,1.780862
0.482857,1.384714
0.765714,1.419339
1.048571,1.516873
1.331428,1.655972
1.614286,1.843863
1.897143,2.098865
2.180000,2.445935
2.462857,2.903902
2.745714,3.507844
3.028571,4.449003
3.311428,6.261328
3.594286,9.860220
3.877143,31.023222
4.159999,25.924404
4.442857,18.723001
4.725714,15.072028
5.008571,12.749790
5.291428,11.069154
5.574285,9.748184
5.857143,8.620454
6.139999,7.582763
6.422857,6.559507
6.705714,5.484927
6.988570,4.252869
7.271428,2.819764
7.554285,1.538597
7.837142,1.158265
8.119999,1.134285
8.402856,1.176828
8.685714,1.219749
8.968571,1.258913
9.251428,1.287444
9.534284,1.308261
9.817142,1.323416
10.100000,1.336673
10.382856,1.347397
10.665713,1.356661
10.948571,1.366073
11.231427,1.376764
11.514285,1.390372
11.797142,1.408880
12.079999,1.429909
12.362856,1.453772
12.645713,1.475742
12.928570,1.492184
13.211428,1.498038
13.494285,1.490465
13.777142,1.474066
14.059998,1.456630
14.342855,1.438095
14.625714,1.419103
14.908570,1.399971
15.191427,1.380890
15.474284,1.362019
15.757142,1.343537
16.039999,1.328878
16.322857,1.308223
16.605713,1.291589
16.888571,1.276056
17.171429,1.261732
17.454285,1.248839
17.737142,1.238216
18.019998,1.228459
18.302857,1.221469
18.585714,1.217148
18.868570,1.215913
19.151429,1.218417
19.434285,1.225850
19.717142,1.241118
20.000000,1.270877
