Profile,f0_Hz,f0_Amplitude,Secondary_Peaks
Profile_1,0.318919,5.394015,1.763 Hz
Profile_2,0.298999,6.018789,1.823 Hz
Profile_3,0.269119,4.777375,1.175 Hz
Profile_4,0.269119,5.912705,1.773 Hz
Profile_5,0.269119,5.874227,1.624 Hz
Profile_6,0.289039,6.071321,1.773 Hz
Profile_7,0.269119,4.379107,1.614 Hz
Profile_8,0.269119,5.178378,1.166 Hz
Profile_9,0.269119,5.266216,1.614 Hz
Profile_10,0.259159,4.683050,1.126 Hz
Median,0.289039,5.217253,1.664 Hz
