Frequency_Hz,HVSR_Amplitude
0.200000,2.173567
0.482857,1.420212
0.765714,1.370998
1.048571,1.399283
1.331428,1.452081
1.614286,1.519757
1.897143,1.600733
2.180000,1.695999
2.462857,1.807595
2.745714,1.937893
3.028571,2.088621
3.311428,2.259723
3.594286,2.449597
3.877143,2.658684
4.159999,2.894998
4.442857,3.176339
4.725714,3.529010
5.008571,3.988293
5.291428,4.604132
5.574285,5.445904
5.857143,6.535136
6.139999,5.946805
6.422857,14.403797
6.705714,23.088055
6.988570,25.799877
7.271428,26.138779
7.554285,19.617538
7.837142,17.369833
8.119999,15.425706
8.402856,13.776749
8.685714,12.347001
8.968571,11.120737
9.251428,10.042126
9.534284,9.079660
9.817142,8.211392
10.100000,7.421670
10.382856,6.695944
10.665713,6.017694
10.948571,5.372494
11.231427,4.756554
11.514285,4.170095
11.797142,3.603120
12.079999,3.059462
12.362856,2.544434
12.645713,1.890697
12.928570,1.557699
13.211428,1.138746
13.494285,0.820752
13.777142,0.753577
14.059998,0.850741
14.342855,0.934370
14.625714,0.993515
14.908570,1.034773
15.191427,1.068798
15.474284,1.100311
15.757142,1.124328
16.039999,1.144045
16.322857,1.160653
16.605713,1.174754
16.888571,1.186196
17.171429,1.186759
17.454285,1.206523
17.737142,1.215185
18.019998,1.222641
18.302857,1.229273
18.585714,1.235248
18.868570,1.240596
19.151429,1.243989
19.434285,1.245389
19.717142,1.256004
20.000000,1.261433
