Frequency_Hz,HVSR_Amplitude
0.200000,3.282750
0.482857,1.629999
0.765714,1.409144
1.048571,1.362868
1.331428,1.361304
1.614286,1.376511
1.897143,1.399927
2.180000,1.428354
2.462857,1.460453
2.745714,1.495701
3.028571,1.533881
3.311428,1.574995
3.594286,1.619098
3.877143,1.666254
4.159999,1.716408
4.442857,1.769343
4.725714,1.824573
5.008571,1.881271
5.291428,1.938358
5.574285,1.994675
5.857143,2.049320
6.139999,2.101956
6.422857,2.152906
6.705714,2.203073
6.988570,2.253567
7.271428,2.305494
7.554285,2.359737
7.837142,2.416869
8.119999,2.477145
8.402856,2.540573
8.685714,2.606832
8.968571,2.675327
9.251428,2.745017
9.534284,2.814222
9.817142,2.880213
10.100000,2.938400
10.382856,2.980675
10.665713,2.992264
10.948571,2.949182
11.231427,2.854367
11.514285,2.990441
11.797142,3.564809
12.079999,3.951841
12.362856,4.136469
12.645713,4.249606
12.928570,4.335559
13.211428,4.404887
13.494285,4.456206
13.777142,4.478704
14.059998,4.435363
14.342855,4.127050
14.625714,2.007036
14.908570,4.978597
15.191427,5.038211
15.474284,5.032004
15.757142,5.024389
16.039999,5.015617
16.322857,5.005333
16.605713,4.996458
16.888571,4.994423
17.171429,4.217954
17.454285,4.734183
17.737142,4.732719
18.019998,4.693881
18.302857,4.641150
18.585714,4.579924
18.868570,4.511818
19.151429,4.428359
19.434285,3.220264
19.717142,3.193127
20.000000,3.144929
